# ----------------------------------------
# All Web Site Data
# Pages
# 20130101-20220720
# ----------------------------------------

Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
"/devsummit/?'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()=RaNDMPRMz",39,39,00:00:24,3,0.00%,2.56%,US$0.00
"/devsummit/c5eab16d.png""",39,39,00:00:25,1,100.00%,5.13%,US$0.00
"/devsummit/schedule/16b1480cf3745ca7c6e3fad897869a6d?RaNDMPRMz='-function(){xssdetected(3911)}()-"">\""><scrIpt>xssdetected(3911)</scrIpt><aUdio src=x oNerror=xssdetected(3911)><""-'-function(){xssdetected(3911)}()",39,5,00:00:01,4,100.00%,10.26%,US$0.00
"/devsummit/schedule/3b75cdd826a16f5bba0076690f644dc7?'-function(){xssdetected(241373542736500000910911n)}()-"">\""><scrIpt>xssdetected(241373542736500000910911n)</scrIpt><aUdio src=x oNerror=xssdetected(241373542736500000910911n)><""-'-function(){xssdetected(241373542736500000910911n)}()=RaNDMPRMz",39,1,00:00:01,1,0.00%,2.56%,US$0.00
"/devsummit/schedule/modern-web-media?'-function(){xssdetected(11911n)}()-"">\""><scrIpt>xssdetected(11911n)</scrIpt><aUdio src=x oNerror=xssdetected(11911n)><""-'-function(){xssdetected(11911n)}()=RaNDMPRMz",39,3,00:00:03,0,0.00%,2.56%,US$0.00
"/devsummit/sessions/easy-composition-and-reuse/?'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()=RaNDMPRMz",39,39,00:00:25,1,0.00%,2.56%,US$0.00
"/devsummit/sessions/easy-composition-and-reuse/?RaNDMPRMz='-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:25,1,0.00%,5.13%,US$0.00
"/devsummit/sessions/easy-composition-and-reuse/'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio+src=x+oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:25,1,0.00%,2.56%,US$0.00
"/devsummit/sessions/easy-composition-and-reuse/'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio+src=x+oNerror=debugger><""-'-function(){debugger}()/",39,39,00:00:25,2,0.00%,2.56%,US$0.00
"/devsummit/sessions/fundamentals-of-mobile-web-development/?RaNDMPRMz='-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:24,3,0.00%,7.69%,US$0.00
"/devsummit/sessions/future-of-web-apps-panel/?RaNDMPRMz='-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:25,0,0.00%,5.13%,US$0.00
"/devsummit/sessions/future-of-web-apps-panel/'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio+src=x+oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:25,0,0.00%,10.26%,US$0.00
"/devsummit/sessions/future-of-web-apps-panel/'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio+src=x+oNerror=debugger><""-'-function(){debugger}()/",39,39,00:00:25,3,0.00%,0.00%,US$0.00
"/devsummit/sessions/keynote/?'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()=RaNDMPRMz",39,39,00:00:25,1,0.00%,5.13%,US$0.00
"/devsummit/sessions/keynote/?RaNDMPRMz='-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:24,2,0.00%,10.26%,US$0.00
"/devsummit/sessions/keynote/'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio+src=x+oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:25,2,0.00%,5.13%,US$0.00
"/devsummit/sessions/keynote/'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio+src=x+oNerror=debugger><""-'-function(){debugger}()/",39,39,00:00:25,4,0.00%,5.13%,US$0.00
"/devsummit/sessions/lets-build-some-apps-with-polymer/?RaNDMPRMz='-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:25,2,0.00%,2.56%,US$0.00
"/devsummit/sessions/material-design-panel/'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio+src=x+oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:25,0,0.00%,5.13%,US$0.00
"/devsummit/sessions/tls-all-the-things-security-with-performance/?'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()=RaNDMPRMz",39,39,00:00:25,2,0.00%,5.13%,US$0.00
"/devsummit/sessions/tls-all-the-things-security-with-performance/?RaNDMPRMz='-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:26,2,0.00%,2.56%,US$0.00
"/devsummit/sessions/tls-all-the-things-security-with-performance/'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio+src=x+oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:25,2,0.00%,5.13%,US$0.00
"/devsummit/sessions/tls-all-the-things-security-with-performance/'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio+src=x+oNerror=debugger><""-'-function(){debugger}()/",39,39,00:00:25,1,0.00%,5.13%,US$0.00
"/devsummit/sessions/web-components-and-polymer-panel/?'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()=RaNDMPRMz",39,39,00:00:25,1,0.00%,5.13%,US$0.00
"/devsummit/sessions/web-components-and-polymer-panel/?RaNDMPRMz='-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:25,2,0.00%,0.00%,US$0.00
"/devsummit/sessions/web-components-and-polymer-panel/'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio+src=x+oNerror=debugger><""-'-function(){debugger}()/",39,39,00:00:26,0,0.00%,5.13%,US$0.00
"/devsummit/sessions/wicked-fast/?'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()=RaNDMPRMz",39,39,00:00:25,1,0.00%,0.00%,US$0.00
"/devsummit/sessions/wicked-fast/?RaNDMPRMz='-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio src=x oNerror=debugger><""-'-function(){debugger}()",39,39,00:00:25,1,0.00%,2.56%,US$0.00
"/devsummit/sessions/wicked-fast/'-function(){debugger}()-"">\""><scrIpt>debugger</scrIpt><aUdio+src=x+oNerror=debugger><""-'-function(){debugger}()/",39,39,00:00:25,0,0.00%,5.13%,US$0.00
"/devtools/docs/authoring-development-workflow?search=undefined&x=0&'-function(){debugger}()-"">\""><script>debugger</script><audio src=x onerror=debugger><""-'-function(){debugger}()=0",39,39,00:00:18,2,0.00%,7.69%,US$0.00
/devtools/docs/authoring-development-workflow.html,39,23,00:02:20,5,80.00%,12.82%,US$0.00
/devtools/docs/css-preprocessors?hl=nl,39,37,00:09:49,36,88.89%,89.74%,US$0.00
/devtools/docs/debugger-protocol?hl=FR,39,37,00:00:17,29,17.24%,15.38%,US$0.00
/devtools/docs/demos/memory/example10?search=,39,13,00:00:18,8,0.00%,7.69%,US$0.00
/devtools/docs/demos/memory/example7?search=,39,15,00:00:12,9,11.11%,5.13%,US$0.00
"/devtools/docs/javascript-memory-profiling?search=undefined&x'-function(){debugger}()-"">\""><script>debugger</script><audio src=x onerror=debugger><""-'-function(){debugger}()=0&y=0",39,39,00:00:18,1,0.00%,7.69%,US$0.00
"/devtools/docs/javascript-memory-profiling?search=undefined&x='-function(){debugger}()-"">\""><script>debugger</script><audio src=x onerror=debugger><""-'-function(){debugger}()0&y=0",39,39,00:00:22,4,0.00%,2.56%,US$0.00
"/devtools/docs/javascript-memory-profiling?search=undefined&x=0&y='-function(){debugger}()-"">\""><script>debugger</script><audio src=x onerror=debugger><""-'-function(){debugger}()",39,39,00:00:19,1,0.00%,7.69%,US$0.00
/devtools/docs/mobile-emulation?hl=tr-TR,39,35,00:03:24,16,81.25%,76.92%,US$0.00
/devtools/docs/remote-debugging?hl=fr-FR,39,36,00:03:48,31,77.42%,74.36%,US$0.00
/devtools/docs/tips-and-tricks?hl=BG,39,33,00:03:15,31,90.32%,82.05%,US$0.00
/devtools/docs/tips-and-tricks?hl=cs,39,37,00:02:02,30,90.00%,84.62%,US$0.00
/docs/apps/app_storage/offline_apps,39,34,00:00:51,2,50.00%,12.82%,US$0.00
/docs/devtools/recorder/&quot,39,36,00:00:20,4,0.00%,23.08%,US$0.00
/docs/extensions/cGVybWlzc2,39,39,00:00:01,39,97.44%,97.44%,US$0.00
/docs/extensions/dev/i18n.html,39,36,00:04:27,31,77.42%,74.36%,US$0.00
/docs/extensions/infobars.html,39,37,00:04:06,25,76.00%,66.67%,US$0.00
/docs/extensions/reference//tabs/,39,29,00:00:49,22,40.91%,33.33%,US$0.00
/docs/extensions/reference/declarativeContent/activeTab.html,39,29,00:00:14,0,0.00%,5.13%,US$0.00
/docs/resource-panel.md,39,23,00:00:11,3,0.00%,12.82%,US$0.00
/en/blog/deps-rems-92/,39,31,00:02:18,24,70.83%,46.15%,US$0.00
/en/blog/migrating-to-js-modules/&quot,39,38,00:00:20,4,0.00%,12.82%,US$0.00
/en/blog/new-in-chrome-89/,39,33,00:01:52,27,74.07%,66.67%,US$0.00
/en/blog/run-on-login/,39,34,00:00:47,19,78.95%,58.97%,US$0.00
/extensions/all_urls,39,35,00:00:57,1,0.00%,5.13%,US$0.00
"/extensions/bookmarks?'-function(){debugger}()-"">\""><script>debugger</script><audio src=x onerror=debugger><""-'-function(){debugger}()search=",39,39,00:00:18,0,0.00%,7.69%,US$0.00
/extensions/contentSecurityPolicy?search=undefined&x=0&y=0,39,9,00:00:19,6,0.00%,5.13%,US$0.00
"/extensions/devtools_panels.html?RaNDMPRMz='-function(){debugger}()-"">\""><script>debugger</script><audio src=x onerror=debugger><""-'-function(){debugger}()",39,38,00:00:35,24,50.00%,58.97%,US$0.00
/extensions/examples/api/cookies?search=,39,11,00:00:15,6,0.00%,5.13%,US$0.00
/extensions/examples/api/desktopCapture?search=,39,15,00:00:21,10,0.00%,7.69%,US$0.00
/extensions/examples/api/devtools/audits?search=,39,15,00:00:26,8,0.00%,12.82%,US$0.00
/extensions/examples/api/idle,39,26,00:00:17,6,0.00%,20.51%,US$0.00
/extensions/examples/extensions/managed_bookmarks?search=,39,11,00:00:16,4,0.00%,0.00%,US$0.00
/extensions/file,39,36,00:00:11,7,28.57%,12.82%,US$0.00
"/extensions/fontSettings?search=undefined&'-function(){debugger}()-"">\""><script>debugger</script><audio src=x onerror=debugger><""-'-function(){debugger}()x=0&y=0",39,39,00:00:25,4,0.00%,0.00%,US$0.00
"/extensions/history?'-function(){debugger}()-"">\""><script>debugger</script><audio src=x onerror=debugger><""-'-function(){debugger}()=RaNDMPRMz",39,39,00:00:20,2,0.00%,2.56%,US$0.00
